Gen,NbVert,T_Min,T_Avg,T_Max,V_Min,V_Avg,V_Max,T_mutat,T_eval,T_valid,T_total
19,1102,-43.19,-8.08,2.99,-24.52,-3.47,2.77,1.69,0.83,0.28,53.07
20,1109,-42.02,-8.08,2.79,-13.69,-4.07,2.39,1.52,1.14,0.30,56.03
21,1098,-41.58,-7.71,1.72,-36.60,-1.71,4.79,1.68,0.97,0.34,59.03
22,1091,-34.05,-6.64,1.47,-27.41,-1.02,4.73,1.44,1.14,0.48,62.09
23,1102,-43.39,-6.97,2.30,-22.83,-2.88,2.27,1.22,1.52,0.44,65.27
24,1108,-32.48,-6.62,1.33,-17.17,-2.69,2.22,1.22,1.91,0.36,68.75
25,1110,-36.70,-5.83,2.34,-15.08,-3.46,2.33,1.65,1.27,0.46,72.13
26,1099,-33.69,-4.77,2.22,-23.69,0.63,2.39,1.65,1.58,0.59,75.96
27,1100,-39.37,-5.43,2.51,-17.79,0.06,2.30,1.33,2.03,0.46,79.77
28,1095,-36.35,-3.74,4.76,-45.32,4.70,7.47,1.49,2.25,0.37,83.88
29,1103,-42.21,-4.61,3.57,-16.41,1.42,4.97,1.61,1.55,0.44,87.48
30,1104,-38.04,-2.50,5.03,-32.78,0.40,2.57,1.51,2.20,0.42,91.62
31,1101,-38.75,-4.13,3.37,-31.81,1.09,2.66,1.58,1.82,0.50,95.53
32,1109,-44.39,-0.56,7.41,-20.84,3.45,5.12,1.59,1.65,0.64,99.41
33,1116,-35.98,1.25,7.35,-13.08,5.80,7.33,1.65,2.01,0.45,103.51
34,1103,-43.12,-2.18,5.45,-15.76,1.41,2.59,1.23,2.40,0.35,107.49
35,1110,-38.09,1.79,7.35,-28.90,2.90,4.90,1.67,1.62,0.45,111.23
36,1109,-42.49,-1.79,4.91,-34.46,-0.95,4.58,1.48,2.43,0.36,115.50
37,1106,-44.77,-2.40,5.02,-32.77,-0.52,2.40,1.54,1.79,0.50,119.33
38,1122,-38.22,-1.37,4.77,-28.94,-0.37,2.15,1.45,2.20,0.41,123.39
39,1109,-41.19,0.38,5.97,-30.26,1.09,2.69,1.11,2.20,0.52,127.23
40,1113,-42.35,0.89,6.03,-30.96,0.93,2.68,1.53,2.37,0.43,131.56
41,1121,-35.60,-2.20,4.10,-27.71,-1.07,2.31,1.35,2.79,0.73,136.43
42,1106,-39.58,2.78,7.48,-21.95,1.10,4.77,1.44,2.30,0.46,140.63
43,1120,-40.82,-2.36,4.99,-9.52,1.75,2.70,1.96,2.79,0.44,145.83
44,1114,-41.44,-1.48,5.09,-23.64,6.44,7.39,1.84,2.46,0.51,150.64
45,1110,-36.64,3.29,7.36,-8.20,1.71,2.61,1.68,2.16,0.58,155.06
46,1110,-40.73,-1.46,5.30,-15.75,0.24,2.13,1.42,2.62,0.53,159.63
47,1106,-33.91,0.30,5.84,-24.15,2.02,4.97,1.27,2.53,0.63,164.06
48,1103,-34.94,-2.06,5.01,-9.15,0.42,2.58,1.45,2.61,0.51,168.64
49,1107,-40.98,0.68,5.10,-2.02,2.13,2.81,1.44,2.24,0.54,172.86
50,1121,-34.97,-0.12,5.01,0.24,4.03,4.99,1.51,2.52,0.50,177.40
51,1119,-36.33,0.15,5.17,-5.33,1.36,2.68,1.23,2.48,0.63,181.74
52,1107,-41.41,1.29,5.15,1.28,4.75,5.16,1.51,2.37,0.39,186.01
53,1119,-42.40,-1.41,4.94,-4.07,-0.09,2.53,1.19,2.42,0.55,190.18
54,1116,-41.02,-0.85,4.46,-1.95,0.45,2.54,1.56,2.44,0.87,195.05
55,1115,-43.64,-1.47,3.88,0.04,3.91,4.94,1.02,2.80,0.44,199.30
56,1111,-35.47,0.17,5.00,-3.56,3.83,4.97,1.50,2.30,0.94,204.05
57,1111,-40.88,-1.76,4.45,-1.21,6.78,7.29,1.10,2.84,0.40,208.39
58,1116,-43.25,-1.44,4.09,-0.70,0.57,2.44,1.96,2.48,0.61,213.45
59,1111,-51.13,-0.82,3.82,-0.20,2.38,2.83,1.22,2.77,0.64,218.08
60,1114,-34.36,-1.22,3.65,2.96,4.70,5.12,1.17,2.65,0.43,222.34
61,1122,-38.86,-1.53,3.26,0.90,3.02,4.96,1.09,2.77,0.54,226.75
62,1114,-35.87,-0.19,4.92,-4.23,0.68,2.61,1.61,2.77,0.49,231.63
63,1109,-44.15,1.17,7.47,-5.61,1.06,2.65,1.17,2.64,0.60,236.04
64,1114,-34.95,2.72,7.41,-36.74,6.47,7.34,1.38,2.40,0.57,240.40
65,1106,-41.04,-0.63,5.13,-29.53,1.90,2.80,1.10,2.70,0.45,244.65
66,1108,-40.58,-1.10,5.85,-26.71,1.82,2.63,1.67,2.20,0.98,249.50
67,1113,-43.06,5.31,9.80,-20.63,-2.02,2.16,1.19,2.63,0.50,253.82
68,1106,-40.67,1.84,7.34,-30.69,-0.89,2.18,1.45,2.23,0.99,258.49
69,1104,-40.23,-0.59,6.23,-34.60,4.70,7.12,0.82,2.88,0.44,262.62
70,1107,-40.65,3.55,8.43,-15.46,2.04,2.76,1.76,2.57,0.63,267.58
71,1108,-37.54,1.84,7.33,-2.77,1.78,2.66,1.03,2.78,0.53,271.93
72,1105,-34.35,0.08,6.43,1.88,4.11,4.97,1.48,2.39,0.83,276.63
73,1100,-34.96,2.21,6.58,-13.53,6.91,7.51,0.92,2.82,0.50,280.87
74,1115,-36.44,1.15,6.44,-8.71,1.98,2.73,1.23,2.72,0.68,285.49
75,1115,-42.43,-0.04,5.63,-7.40,4.79,5.21,1.53,2.98,0.50,290.51
76,1114,-39.73,4.17,7.47,-20.22,1.94,2.52,1.49,2.34,0.57,294.91
77,1115,-40.48,4.11,7.40,-33.22,6.88,7.46,1.42,3.07,0.54,299.94
78,1121,-40.14,-1.41,5.70,-34.61,4.58,5.15,1.42,3.03,0.68,305.08
79,1115,-34.24,-2.55,4.50,-20.41,2.29,2.64,1.17,3.72,0.66,310.63
80,1126,-35.78,-1.29,5.11,-35.75,2.10,2.70,1.14,3.33,0.60,315.70
81,1113,-40.31,-0.78,5.83,-36.43,2.30,2.80,1.15,2.86,0.67,320.38
82,1130,-40.13,0.27,5.01,-42.06,2.43,2.87,1.33,2.99,0.55,325.25
83,1115,-42.97,2.38,6.29,4.69,7.06,7.35,1.45,2.90,0.96,330.56
84,1121,-43.71,-0.06,3.88,1.17,2.96,3.09,0.91,3.37,0.60,335.44
85,1118,-36.20,3.09,7.35,1.23,2.53,2.82,1.78,3.34,0.48,341.04
86,1124,-42.40,0.31,4.95,-3.81,2.42,2.69,1.07,3.17,1.00,346.29
87,1134,-35.94,2.07,6.11,-26.30,2.21,2.70,1.22,3.05,0.58,351.14
88,1126,-39.72,4.49,7.50,2.95,4.83,5.03,1.24,2.74,1.02,356.14
89,1123,-34.15,0.86,5.10,-1.46,0.49,0.59,0.97,3.23,0.66,361.01
90,1126,-35.43,2.73,6.26,2.14,4.84,5.14,1.54,2.89,0.92,366.37
91,1131,-39.01,0.58,5.16,-1.45,0.59,0.73,1.02,2.99,0.67,371.06
92,1121,-42.51,0.14,5.11,3.54,4.93,5.03,1.78,3.21,0.49,376.53
93,1119,-44.49,0.39,4.50,5.01,7.31,7.45,1.42,3.35,0.62,381.92
94,1121,-43.03,0.18,4.49,0.53,2.51,2.77,0.87,3.21,0.84,386.84
95,1119,-38.73,4.50,7.50,0.37,0.61,0.67,1.28,3.04,0.51,391.67
96,1122,-42.94,1.85,6.26,4.69,4.86,4.93,1.57,2.71,0.97,396.92
97,1117,-36.33,-0.83,4.39,1.42,4.93,5.05,0.88,3.48,0.46,401.74
98,1122,-38.87,0.53,5.06,3.66,4.79,4.94,0.95,2.93,1.05,406.66
99,1119,-36.33,2.81,7.32,2.06,2.57,2.72,1.13,3.31,0.56,411.66
100,1128,-42.40,0.02,5.23,4.86,5.04,5.06,1.06,3.19,0.92,416.83
101,1130,-43.37,4.10,7.26,-0.70,2.57,2.79,1.12,3.24,0.89,422.08
102,1133,-42.49,2.01,6.14,-0.17,4.96,5.11,1.12,3.14,0.55,426.88
103,1128,-31.72,-1.05,4.94,-0.07,4.89,5.06,0.99,3.59,0.87,432.34
104,1121,-39.71,0.10,5.15,3.31,6.83,7.38,0.97,3.14,0.75,437.21
105,1126,-36.12,0.66,5.13,-11.48,2.05,2.69,1.38,3.25,0.55,442.40
106,1138,-43.66,0.14,9.53,-9.10,2.06,2.79,1.04,3.32,1.03,447.79
107,1129,-42.26,-0.22,5.15,0.30,4.68,5.17,0.91,3.23,0.50,452.44
108,1128,-42.35,-0.32,5.82,-1.56,4.75,7.21,1.46,2.97,0.99,457.85
109,1133,-35.20,-0.21,5.41,2.52,6.48,7.45,1.07,3.56,0.50,462.98
110,1119,-40.00,-1.03,4.57,-0.29,2.34,2.87,1.34,3.42,0.68,468.43
111,1124,-35.77,-1.54,3.74,0.34,2.01,2.80,1.26,3.34,0.68,473.71
112,1121,-39.23,-1.08,3.67,-42.55,4.52,7.33,1.54,3.55,0.59,479.39
113,1118,-41.34,-0.04,4.92,-2.57,1.86,2.72,1.27,3.65,1.09,485.40
114,1124,-39.32,2.37,7.27,-39.80,4.28,5.09,0.90,3.40,0.50,490.21
115,1134,-37.47,-0.34,4.79,-36.94,2.14,2.84,1.37,3.28,0.94,495.81
116,1122,-42.85,-1.10,4.59,-29.03,2.23,2.73,1.13,3.51,0.92,501.37
117,1122,-35.14,-1.25,3.82,-33.23,2.16,2.82,1.16,3.69,0.59,506.81
118,1118,-43.72,2.43,5.17,-17.21,4.56,5.11,1.50,3.15,0.58,512.03
119,1127,-42.43,2.20,5.16,-9.44,-0.45,2.71,1.43,3.22,1.03,517.73
120,1132,-34.97,0.74,4.34,-21.26,7.02,7.34,1.29,3.41,0.61,523.04
121,1126,-43.81,4.27,7.44,-28.36,3.33,5.06,1.49,3.21,0.76,528.51
122,1118,-35.69,1.59,6.25,2.95,7.18,7.50,1.24,3.51,0.69,533.95
123,1120,-43.39,0.52,5.12,1.03,4.28,5.10,1.38,3.44,0.64,539.42
124,1116,-44.77,4.88,7.51,-1.61,2.62,2.84,1.12,3.26,0.48,544.28
125,1130,-42.27,0.48,5.19,-2.12,2.46,2.66,2.00,3.51,0.62,550.41
126,1140,-41.47,2.88,6.31,-35.14,6.96,7.35,1.64,3.70,0.80,556.55
127,1131,-34.58,0.35,5.12,-28.91,4.50,4.95,1.49,4.33,0.70,563.07
128,1131,-27.99,0.97,5.20,-37.66,2.47,2.82,1.42,4.10,0.74,569.32
129,1127,-23.86,1.13,5.04,-38.68,7.13,7.51,1.45,3.71,1.06,575.54
130,1125,-33.32,1.04,4.40,-35.17,4.74,5.19,1.03,3.85,0.55,580.97
131,1127,-44.48,0.49,4.87,-43.30,4.71,5.14,1.73,3.86,0.65,587.21
132,1126,-38.07,3.11,5.17,-23.15,2.15,2.57,1.38,4.05,0.66,593.30
133,1135,-34.63,5.17,7.48,2.26,4.90,5.18,1.14,3.63,1.06,599.14
134,1141,-39.88,2.47,6.30,-3.15,4.96,5.12,1.09,3.73,0.58,604.53
135,1134,-39.22,0.75,5.10,-16.21,2.17,2.70,1.59,3.90,0.61,610.64
136,1133,-32.56,0.84,5.15,-10.94,2.14,2.76,1.44,3.85,0.58,616.51
137,1122,-42.24,2.49,6.29,-23.80,2.43,2.81,1.17,3.80,1.00,622.48
138,1124,-43.91,0.10,5.10,-37.09,1.96,2.78,1.16,3.64,0.51,627.78
139,1125,-33.95,4.94,9.75,-2.62,3.49,5.04,1.81,3.08,0.71,633.38
140,1128,-44.65,0.17,6.27,1.35,4.25,5.07,1.21,3.25,0.67,638.52
141,1131,-44.41,2.41,7.40,-28.73,1.47,2.76,1.67,3.02,0.57,643.78
142,1126,-32.23,1.98,6.59,-34.98,3.13,5.12,1.23,3.37,0.58,648.97
143,1124,-33.16,1.59,5.96,-34.76,2.50,2.89,1.30,3.39,1.15,654.82
144,1127,-41.28,2.85,6.64,-35.50,4.80,5.20,1.23,3.48,0.60,660.12
145,1125,-38.53,2.96,6.42,-40.32,4.73,5.15,1.43,2.84,0.71,665.11
146,1129,-33.44,5.05,7.33,-28.28,4.50,5.15,1.40,3.41,0.65,670.57
147,1132,-44.97,0.31,5.49,-33.61,2.29,2.84,1.59,3.40,0.91,676.47
148,1129,-34.55,2.94,6.23,-33.52,4.50,5.13,1.20,3.63,1.03,682.32
149,1124,-38.63,0.43,5.05,-23.77,2.24,2.71,1.40,3.66,0.71,688.08
150,1124,-43.07,2.80,7.49,-22.36,1.55,2.75,1.62,3.64,0.59,693.94
151,1126,-39.06,0.10,5.14,-35.66,2.00,2.82,1.56,3.13,1.06,699.68
152,1127,-43.71,2.47,6.28,-38.32,4.41,5.14,1.26,3.32,0.56,704.82
153,1130,-44.65,4.79,7.51,-26.43,1.71,2.70,1.94,3.17,0.49,710.42
154,1132,-42.83,2.67,6.32,-20.07,3.71,5.08,1.27,3.14,0.82,715.65
155,1130,-40.66,2.62,6.34,-43.20,8.55,9.74,1.68,3.26,0.57,721.16
156,1128,-45.09,0.50,5.42,-34.85,7.09,7.47,1.17,3.54,1.02,726.89
157,1131,-43.54,0.53,5.16,-29.09,2.49,5.03,1.37,3.31,0.74,732.31
158,1127,-35.55,-0.48,5.06,-31.97,2.11,2.83,1.96,3.72,0.56,738.55
159,1130,-36.85,-0.63,5.01,-35.29,2.22,2.79,1.65,3.13,1.09,744.42
160,1128,-44.65,2.10,5.11,-41.44,2.29,2.76,1.85,3.45,1.03,750.75
161,1132,-27.69,0.60,4.55,-29.94,2.28,2.79,1.26,3.54,0.63,756.19
162,1135,-45.55,4.68,7.49,-30.03,2.26,2.87,1.78,2.96,0.67,761.59
163,1125,-40.95,3.35,6.33,-41.70,4.96,7.41,1.67,3.42,0.60,767.29
164,1129,-42.15,3.29,7.49,-41.21,4.76,5.19,1.26,3.45,0.64,772.62
165,1115,-42.51,0.76,5.11,-33.99,2.27,2.78,1.55,3.82,0.74,778.75
166,1124,-42.27,1.25,5.86,-34.15,4.77,5.20,1.30,3.77,0.54,784.36
167,1124,-44.96,0.29,5.10,-26.97,2.06,2.80,1.43,3.21,0.69,789.70
168,1135,-41.81,4.71,7.54,-26.90,2.16,2.79,1.69,3.03,0.87,795.28
169,1121,-40.18,1.09,5.22,-28.63,9.09,9.70,1.67,3.34,0.61,800.92
170,1120,-44.23,0.39,5.16,-36.83,4.73,5.18,1.19,3.27,0.76,806.13
171,1124,-43.04,1.61,5.15,1.36,5.07,5.15,1.80,3.40,0.54,811.88
172,1121,-45.84,6.77,9.77,-7.18,2.40,2.82,1.23,3.22,0.50,816.82
173,1115,-32.73,0.45,6.24,-1.47,4.40,5.06,1.30,3.56,0.57,822.25
174,1125,-40.23,2.25,7.46,5.85,7.38,7.44,1.29,3.18,0.68,827.40
175,1128,-29.58,3.36,7.42,-1.39,2.50,2.77,1.59,3.23,0.73,832.95
176,1130,-40.94,1.05,5.89,-6.05,1.84,2.67,1.90,3.90,0.69,839.44
177,1127,-40.75,1.21,6.18,-3.58,2.41,2.79,1.70,3.50,0.77,845.41
178,1128,-41.19,5.13,7.43,4.97,7.35,7.48,1.49,3.16,0.79,850.85
179,1124,-42.36,3.14,6.82,2.46,2.73,2.86,1.81,3.48,0.55,856.70
180,1120,-43.42,1.17,5.12,4.78,5.08,5.16,1.47,3.12,0.74,862.03
181,1128,-40.66,0.72,5.98,4.91,5.18,5.23,1.41,3.30,0.59,867.34
182,1122,-44.29,4.73,7.42,0.74,2.50,2.81,1.19,3.53,0.53,872.58
183,1134,-38.39,2.83,6.62,0.92,4.91,5.04,1.29,2.98,0.75,877.60
184,1130,-43.67,4.97,7.48,0.68,2.59,2.81,1.60,2.76,0.62,882.57
185,1121,-43.41,2.96,6.32,0.46,2.58,2.78,1.62,3.04,0.66,887.89
186,1132,-41.22,0.97,5.28,0.59,2.55,2.81,1.40,3.24,0.84,893.37
187,1127,-44.51,0.64,5.14,2.56,2.79,2.86,1.45,3.26,0.51,898.59
188,1132,-41.66,1.03,5.15,3.55,5.12,5.16,1.77,3.46,0.81,904.63
189,1126,-41.95,2.81,5.88,2.74,4.73,5.09,1.51,3.29,0.70,910.13
190,1135,-41.16,2.91,5.84,-0.25,2.56,2.68,1.52,3.43,0.62,915.71
191,1128,-43.39,0.83,5.07,4.85,5.12,5.18,1.80,3.45,0.74,921.71
192,1125,-40.85,2.61,5.69,4.59,5.00,5.12,1.44,3.37,0.59,927.11
193,1130,-40.06,-0.88,5.03,4.74,7.37,7.49,1.44,4.22,0.83,933.60
194,1125,-36.77,0.38,4.61,2.58,4.65,5.14,1.88,3.36,0.59,939.44
195,1122,-44.47,4.58,7.47,-19.05,2.42,2.71,1.34,3.33,0.76,944.86
196,1128,-44.47,4.63,7.49,-31.75,2.20,2.81,1.09,3.51,0.81,950.27
197,1128,-40.72,2.37,6.28,-26.16,2.40,2.81,1.53,3.70,0.56,956.05
198,1134,-37.84,1.06,5.39,-33.76,3.15,5.21,1.70,3.80,0.78,962.32
199,1134,-43.64,1.08,5.83,-22.62,2.37,2.70,1.33,3.40,0.73,967.78
200,1136,-42.27,1.13,5.13,-41.86,2.40,2.80,2.09,3.40,0.77,974.04
201,1146,-39.60,4.82,7.45,-32.74,2.50,2.90,1.47,3.41,0.61,979.54
202,1135,-45.89,5.10,7.46,-6.99,2.41,2.83,1.38,3.25,0.77,984.94
203,1133,-44.37,2.82,7.45,0.44,2.42,2.65,1.39,3.45,0.68,990.47
204,1136,-40.50,1.03,5.87,2.66,5.09,7.33,1.67,4.31,1.00,997.45
205,1127,-45.22,1.03,5.92,-1.80,2.53,2.75,1.19,3.77,0.56,1002.97
206,1133,-40.46,0.25,5.12,0.29,2.68,2.82,1.76,3.78,0.75,1009.25
207,1127,-37.34,0.53,5.01,2.44,2.77,2.85,1.32,3.94,0.78,1015.30
208,1134,-39.56,0.58,4.31,0.49,2.74,2.86,1.40,4.01,0.81,1021.52
209,1131,-44.22,4.81,7.44,1.23,2.71,2.86,1.39,3.63,0.57,1027.11
210,1130,-30.49,3.17,6.27,2.22,2.58,2.81,1.56,3.55,0.85,1033.07
211,1131,-40.21,3.34,6.32,6.15,7.29,7.38,1.57,3.70,0.53,1038.87
212,1140,-39.35,3.31,6.32,-11.53,4.90,5.16,1.53,3.45,0.94,1044.79
213,1140,-30.33,1.06,5.11,-4.06,4.86,5.07,1.58,3.75,0.76,1050.88
214,1142,-40.46,3.19,5.72,0.70,9.60,9.71,1.60,3.73,0.62,1056.83
215,1139,-42.66,2.80,7.35,-1.16,4.90,5.20,1.76,3.58,0.69,1062.86
216,1140,-42.40,2.80,6.22,-43.26,4.77,5.17,1.34,3.48,0.80,1068.49
217,1146,-39.47,3.01,6.09,-29.88,4.78,5.14,1.53,3.83,0.70,1074.56
218,1147,-42.99,2.38,5.61,-34.28,2.31,2.83,1.69,4.00,0.62,1080.88
219,1145,-38.41,2.80,5.74,-32.82,2.50,2.81,1.77,3.51,0.95,1087.11
220,1141,-41.96,0.95,5.10,-17.06,2.53,2.83,1.99,3.70,1.02,1093.83
221,1146,-44.12,0.57,5.08,-36.19,4.87,5.19,1.49,3.75,0.68,1099.76
222,1147,-41.95,1.10,4.79,-32.88,3.07,5.06,1.41,3.79,0.78,1105.74
223,1148,-36.87,1.05,4.85,-25.28,2.06,2.66,1.32,3.87,0.77,1111.70
224,1144,-39.53,4.24,9.59,-31.67,2.32,2.88,1.49,3.77,0.76,1117.72
225,1146,-42.77,4.85,8.41,-26.84,4.23,5.09,1.46,3.75,0.94,1123.86
226,1144,-39.07,4.63,8.02,-35.09,4.64,5.09,1.37,3.96,0.65,1129.84
227,1141,-37.33,2.88,7.25,-35.87,7.15,9.79,1.62,3.84,0.65,1135.95
228,1136,-30.98,1.12,6.35,-19.72,2.19,2.63,1.45,3.87,0.94,1142.20
229,1139,-39.21,2.72,6.64,-18.17,2.30,2.62,1.16,4.10,0.59,1148.05
230,1134,-34.23,1.41,6.18,4.77,5.02,5.13,1.66,3.68,0.90,1154.28
231,1140,-37.65,1.05,5.80,3.46,4.92,5.05,1.71,4.10,0.83,1160.93
232,1143,-44.63,2.77,6.16,-2.66,5.07,5.18,1.49,3.82,0.69,1166.93
233,1131,-35.67,5.45,7.46,-40.05,4.77,5.16,1.25,4.02,0.67,1172.87
234,1134,-41.22,3.49,6.28,-34.64,4.73,5.07,1.44,3.98,0.80,1179.09
235,1139,-46.01,5.28,7.44,-38.78,4.48,5.10,1.21,3.96,0.61,1184.87
236,1138,-30.81,3.20,6.64,-26.75,2.29,2.67,1.50,3.85,0.80,1191.01
237,1138,-38.66,2.98,6.68,-28.62,2.47,2.77,1.23,4.28,0.73,1197.25
238,1145,-41.81,0.85,5.83,0.53,2.64,2.77,1.59,3.90,0.79,1203.53
239,1135,-36.98,3.16,6.30,0.55,2.61,2.79,1.61,3.85,0.92,1209.90
240,1144,-42.04,4.78,7.49,0.76,5.08,5.21,1.60,3.81,0.55,1215.86
241,1148,-42.69,0.79,5.10,1.31,4.94,5.21,1.64,4.11,0.94,1222.55
242,1150,-33.42,5.23,7.44,-2.06,2.60,5.14,1.60,4.28,0.65,1229.08
243,1145,-42.35,2.94,6.64,0.77,2.58,2.76,2.04,3.77,1.13,1236.03
244,1148,-42.53,2.85,6.61,3.61,9.68,9.82,1.48,4.10,0.56,1242.17
245,1147,-36.28,1.14,5.59,0.61,4.71,5.01,1.72,4.40,0.75,1249.04
246,1135,-41.03,1.44,5.67,2.38,2.81,2.86,1.61,4.21,0.67,1255.53
247,1147,-35.08,2.82,5.94,-1.73,2.71,2.81,1.72,4.01,0.97,1262.23
248,1141,-42.04,2.97,6.18,7.42,9.73,9.80,1.65,4.03,0.58,1268.48
249,1145,-29.47,0.69,5.36,3.30,5.06,5.12,1.81,4.10,0.92,1275.31
